icd_1,icd_2,ji
D70,I00,0.2727272727272727
D70,I09,0.15789473684210525
D70,J18,0.03636363636363636
D70,J32,0.14285714285714285
D70,J98,0.10526315789473684
D70,K75,0.26666666666666666
D70,K90,0.06349206349206349
D70,L10,0.15
D70,L12,0.2
D70,L51,0.0625
D70,L71,0.09090909090909091
D70,M08,0.11764705882352941
D70,M31,0.12195121951219512
D70,M35,0.05263157894736842
D70,N02,0.036036036036036036
D70,N03,0.1111111111111111
D70,N87,0.125
E10,E06,0.047244094488188976
E10,A39,0.027777777777777776
E10,A48,0.06474820143884892
E10,A71,0.018867924528301886
E10,A92,0.018867924528301886
E10,B19,0.042735042735042736
E10,B20,0.05373134328358209
E10,B22,0.028037383177570093
E10,B24,0.05357142857142857
E10,B35,0.02586206896551724
E10,B50,0.02830188679245283
E10,C16,0.04477611940298507
E10,C22,0.08620689655172414
E10,C50,0.0410958904109589
E10,D59,0.034013605442176874
E10,D64,0.06878306878306878
E10,D84,0.02877697841726619
E10,E11,0.22093023255813954
E10,E14,0.14676616915422885
E10,E16,0.11403508771929824
E10,E31,0.02830188679245283
E10,E66,0.0701219512195122
E10,E84,0.04878048780487805
E10,E88,0.03676470588235294
E10,F05,0.034782608695652174
E10,F06,0.018691588785046728
E10,F09,0.03821656050955414
E10,F10,0.047872340425531915
E10,F31,0.052941176470588235
E10,F44,0.025210084033613446
E10,F48,0.0582010582010582
E10,G30,0.04106776180698152
E10,G35,0.043478260869565216
E10,G36,0.02654867256637168
E10,G45,0.027777777777777776
E10,G59,0.04201680672268908
E10,G63,0.05357142857142857
E10,G70,0.04205607476635514
E10,H06,0.018867924528301886
E10,H16,0.029411764705882353
E10,H20,0.09523809523809523
E10,H31,0.018691588785046728
E10,H36,0.14563106796116504
E10,H46,0.03636363636363636
E10,I00,0.0380952380952381
E10,I09,0.02631578947368421
E10,I10,0.11330049261083744
E10,I20,0.07926829268292683
E10,I21,0.02654867256637168
E10,I22,0.12422360248447205
E10,I25,0.05995203836930456
E10,I50,0.031088082901554404
E10,I51,0.04426229508196721
E10,I60,0.050359712230215826
E10,I63,0.048
E10,I64,0.08661417322834646
E10,I70,0.1111111111111111
E10,I73,0.03821656050955414
E10,J00,0.018867924528301886
E10,J15,0.026785714285714284
E10,J18,0.07731958762886598
E10,J44,0.05714285714285714
E10,J45,0.04182509505703422
E10,J60,0.027522935779816515
E10,J62,0.03418803418803419
E10,J63,0.0380952380952381
E10,J80,0.040983606557377046
E10,J81,0.03418803418803419
E10,K13,0.04201680672268908
E10,K25,0.0364963503649635
E10,K44,0.0374331550802139
E10,K50,0.05859375
E10,K51,0.0514018691588785
E10,K52,0.05405405405405406
E10,K70,0.06358381502890173
E10,K73,0.058394160583941604
E10,K76,0.04046242774566474
E10,K83,0.04
E10,K86,0.031496062992125984
E10,K90,0.06578947368421052
E10,L10,0.03508771929824561
E10,L12,0.03669724770642202
E10,L13,0.018691588785046728
E10,L20,0.037578288100208766
E10,L23,0.061946902654867256
E10,L30,0.03007518796992481
E10,L40,0.03871829105473965
E10,L51,0.03821656050955414
E10,L52,0.018691588785046728
E10,L57,0.040697674418604654
E10,L63,0.07954545454545454
E10,L80,0.07042253521126761
