,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List
177,4,"['A41', 'C91', 'N10']",Nintedanib,0.002991921,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
178,4,"['A41', 'C91', 'N10']",Isosorbide,0.007398631,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
179,4,"['A41', 'C91', 'N10']",Venetoclax,0.012152991,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
180,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Betaxolol,0.013955255,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
181,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Midodrine,0.000411337,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
182,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Bethanidine,0.008509639,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
183,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Isoetarine,0.003809668,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
184,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Ziprasidone,9.692554284853132e-06,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
185,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Cabergoline,7.580354384156691e-10,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
186,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Metoprolol,0.026795382,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
187,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Ropinirole,0.010177448,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
188,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Dapiprazole,6.359127921773224e-05,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
189,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Amitriptyline,9.226813689559769e-05,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
190,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Olanzapine,2.5314467457709623e-06,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
