,Trajectory,Drug,Disease list,Disease Consensus Name List,PubMed count,PubMed count avg
1359,43,Icosapent,"['E87', 'F10', 'F12']","['disorders of fluid, electrolyte and acid-base balance', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of cannabinoids']","[1, 36, 2]",13.0
1360,403,Methylphenobarbital,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']","[0, 0, 1, 1]",0.5
1361,325,Becaplermin,"['E10', 'E13', 'E14', 'E11', 'G63', 'L03', 'N08', 'A04', 'E16', 'F01', 'G51', 'I79', 'L89', 'L98', 'M86']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'diabetes mellitus', 'non-insulin-dependent diabetes mellitus', 'polyneuropathy in diseases classified elsewhere', 'cellulitis', 'glomerular disorders in diseases classified elsewhere', 'bacterial intestinal infections', 'disorders of pancreatic internal secretion', 'vascular dementia', 'facial nerve disorders', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'decubitus ulcer', 'disorders of skin and subcutaneous tissue', 'osteomyelitis']","[14, 1, 189, 24, 0, 1, 0, 3, 0, 9, 0, 7, 18, 93, 4]",24.2
1362,152_407,Trolamine salicylate,"['M06', 'M05', 'M13']","['rheumatoid arthritis', 'seropositive rheumatoid arthritis', 'arthritis']","[1, 0, 3]",1.3333333333333333
1363,325,Fludeoxyglucose F-18,"['E10', 'E13', 'E14', 'E11', 'G63', 'L03', 'N08', 'A04', 'E16', 'F01', 'G51', 'I79', 'L89', 'L98', 'M86']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'diabetes mellitus', 'non-insulin-dependent diabetes mellitus', 'polyneuropathy in diseases classified elsewhere', 'cellulitis', 'glomerular disorders in diseases classified elsewhere', 'bacterial intestinal infections', 'disorders of pancreatic internal secretion', 'vascular dementia', 'facial nerve disorders', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'decubitus ulcer', 'disorders of skin and subcutaneous tissue', 'osteomyelitis']","[52, 1, 355, 154, 0, 7, 0, 4, 11, 64, 11, 3, 2, 621, 178]",97.53333333333333
1364,185,Estradiol cypionate,"['F17', 'G45', 'J38', 'J40', 'J43', 'J98']","['mental and behavioural disorders due to use of tobacco', 'transient cerebral ischaemic attacks and related syndromes', 'diseases of vocal cords and larynx', 'bronchitis', 'emphysema', 'respiratory disorders']","[0, 0, 0, 0, 0, 1]",0.16666666666666666
1365,230,Cyclobenzaprine,"['M71', 'M93', 'M94']","['bursopathies', 'osteochondropathies', 'disorders of cartilage']","[0, 0, 0]",0.0
1366,436,Sulconazole,"['I50', 'J81']","['heart failure', 'pulmonary oedema']","[0, 0]",0.0
1367,65_103,Foreskin fibroblast (neonatal),"['B18', 'F10', 'F11', 'F12', 'F13', 'F14', 'F19']","['chronic viral hepatitis', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[0, 0, 0, 0, 0, 0, 0]",0.0
1368,430,Epinastine,"['G40', 'G41', 'G81']","['epilepsy', 'status epilepticus', 'hemiplegia']","[2, 0, 0]",0.6666666666666666
1369,382,Budesonide,"['G93', 'I46']","['disorders of brain', 'cardiac arrest']","[47, 3]",25.0
1370,184,Liothyronine,"['F48', 'G25', 'G47']","['neurotic disorders', 'extrapyramidal and movement disorders', 'sleep disorders']","[9, 57, 105]",57.0
1371,253_254_345,Acetazolamide,"['C53', 'C54', 'C55']","['malignant neoplasm of cervix uteri', 'malignant neoplasm of corpus uteri', 'malignant neoplasm of uterus, part']","[0, 0, 0]",0.0
1372,312_402,Idelalisib,"['K59', 'E65', 'L90', 'N62']","['functional intestinal disorders', 'localised adiposity', 'atrophic disorders of skin', 'hypertrophy of breast']","[9, 0, 0, 0]",2.25
1373,120,Hycanthone,"['F31', 'F10', 'K70']","['bipolar affective disorder', 'mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']","[0, 1, 0]",0.3333333333333333
1374,324,Fenofibrate,"['N00', 'D46', 'E53', 'F05', 'G31', 'H49', 'I10', 'I12', 'I13', 'I62', 'I99', 'J02', 'J04', 'J30', 'J41', 'J42', 'J69', 'K20', 'K73', 'K75', 'L29', 'M10', 'M40', 'M46', 'N10', 'D26', 'E24', 'L73']","['acute nephritic syndrome', 'myelodysplastic syndromes', 'deficiency of b group vitamins', 'delirium', 'degenerative diseases of nervous system', 'paralytic strabismus', 'essential (primary) hypertension', 'hypertensive renal disease', 'hypertensive heart and renal disease', 'nontraumatic intracranial haemorrhage', 'disorders of circulatory system', 'acute pharyngitis', 'acute laryngitis and tracheitis', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'chronic bronchitis', 'pneumonitis due to solids and liquids', 'oesophagitis', 'chronic hepatitis', 'inflammatory liver diseases', 'pruritus', 'gout', 'kyphosis and lordosis', 'inflammatory spondylopathies', 'acute tubulo-interstitial nephritis', 'benign neoplasms of uterus', ""cushing's syndrome"", 'follicular disorders']","[0, 0, 1, 0, 3, 0, 0, 1, 331, 0, 156, 0, 7, 0, 0, 210, 5, 14, 67, 32, 52, 0, 1, 0, 0, 2, 2]",32.74074074074074
1375,132,Acetylcholine,"['I10', 'I11', 'I20', 'I47', 'I63']","['essential (primary) hypertension', 'hypertensive heart disease', 'angina pectoris', 'paroxysmal tachycardia', 'cerebral infarction']","[22, 649, 529, 30, 129]",271.8
1376,61,Aluminium,"['N12', 'N30', 'N39', 'N73', 'N76']","['tubulo-interstitial nephritis', 'cystitis', 'disorders of urinary system', 'female pelvic inflammatory diseases', 'inflammation of vagina and vulva']","[7, 37, 36, 5, 22]",21.4
1377,126,Brompheniramine,"['G40', 'G93', 'G41']","['epilepsy', 'disorders of brain', 'status epilepticus']","[1, 21, 0]",7.333333333333333
1378,121,Phenprocoumon,"['F14', 'F11']","['mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of opioids']","[0, 0]",0.0
1379,401,Nortriptyline,"['J98', 'J45', 'J96']","['respiratory disorders', 'asthma', 'respiratory failure']","[34, 7, 10]",17.0
1380,223,Carvedilol,"['K83', 'C25']","['diseases of biliary tract', 'malignant neoplasm of pancreas']","[1, 2]",1.5
1381,12,Bifonazole,"['D64', 'D69', 'D70']","['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']","[0, 0, 0]",0.0
1382,352,Fenofibric acid,"['K50', 'A02', 'B34', 'D52', 'D53', 'E07', 'E46', 'E72', 'F09', 'G60', 'G70', 'G83', 'G90', 'H49', 'H61', 'I10', 'I30', 'I99', 'J02', 'J04', 'J11', 'J30', 'J41', 'K20', 'K27', 'K30', 'K46', 'K73', 'K75', 'L08', 'L28', 'L29', 'L50', 'L82', 'L85', 'M00', 'M34', 'M40', 'M46', 'N12']","[""crohn's disease [regional enteritis]"", 'salmonella infections', 'viral infection of site', 'folate deficiency anaemia', 'nutritional anaemias', 'disorders of thyroid', 'protein-energy malnutrition', 'disorders of amino-acid metabolism', 'organic or symptomatic mental disorder', 'hereditary and idiopathic neuropathy', 'myasthenia gravis and myoneural disorders', 'paralytic syndromes', 'disorders of autonomic nervous system', 'paralytic strabismus', 'disorders of external ear', 'essential (primary) hypertension', 'acute pericarditis', 'disorders of circulatory system', 'acute pharyngitis', 'acute laryngitis and tracheitis', 'influenza virus', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'oesophagitis', 'acute with perforation', 'dyspepsia', 'abdominal hernia', 'chronic hepatitis', 'inflammatory liver diseases', 'local infections of skin and subcutaneous tissue', 'lichen simplex chronicus and prurigo', 'pruritus', 'urticaria', 'seborrhoeic keratosis', 'epidermal thickening', 'pyogenic arthritis', 'systemic sclerosis', 'kyphosis and lordosis', 'inflammatory spondylopathies', 'tubulo-interstitial nephritis']","[0, 0, 1, 0, 0, 0, 0, 4, 12, 0, 4, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.75
1383,185,Eluxadoline,"['F17', 'G45', 'J38', 'J40', 'J43', 'J98']","['mental and behavioural disorders due to use of tobacco', 'transient cerebral ischaemic attacks and related syndromes', 'diseases of vocal cords and larynx', 'bronchitis', 'emphysema', 'respiratory disorders']","[0, 35, 0, 0, 0, 1]",6.0
1384,62_101_155,Thioridazine,"['N10', 'N13', 'N20']","['acute tubulo-interstitial nephritis', 'obstructive and reflux uropathy', 'calculus of kidney and ureter']","[0, 7, 1]",2.6666666666666665
1385,430,Lithium,"['G40', 'G41', 'G81']","['epilepsy', 'status epilepticus', 'hemiplegia']","[926, 9]",467.5
1386,185,Fexofenadine,"['F17', 'G45', 'J38', 'J40', 'J43', 'J98']","['mental and behavioural disorders due to use of tobacco', 'transient cerebral ischaemic attacks and related syndromes', 'diseases of vocal cords and larynx', 'bronchitis', 'emphysema', 'respiratory disorders']","[0, 16, 1, 0, 0, 13]",5.0
1387,249,Nicardipine,"['C22', 'C38', 'C49', 'C78', 'D61']","['malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of heart, mediastinum and pleura', 'malignant neoplasm of connective and soft tissue', 'secondary malignant neoplasm of respiratory and digestive organs', 'aplastic anaemias']","[14, 0, 3, 20, 0]",7.4
1388,239,Flunitrazepam,"['E21', 'N18', 'N19', 'N17']","['hyperparathyroidism and disorders of parathyroid gland', 'chronic renal failure', 'renal failure', 'acute renal failure']","[0, 3, 7, 2]",3.0
1389,14,Sotalol,"['E10', 'E16', 'E87']","['insulin-dependent diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of fluid, electrolyte and acid-base balance']","[1, 0, 2]",1.0
1390,243,Hydrocortisone,"['A04', 'K80', 'K81', 'K82', 'D72']","['bacterial intestinal infections', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'disorders of white blood cells']","[29, 44, 24, 738]",208.75
1391,223,Camphor,"['K83', 'C25']","['diseases of biliary tract', 'malignant neoplasm of pancreas']","[0, 1]",0.5
1392,333,Arsenic trioxide,"['C53', 'C54', 'C55', 'N95']","['malignant neoplasm of cervix uteri', 'malignant neoplasm of corpus uteri', 'malignant neoplasm of uterus, part', 'menopausal and perimenopausal disorders']","[1, 0, 1, 1]",0.75
1393,408,Bethanechol,"['M17', 'M24', 'M65', 'M67', 'M71', 'M87', 'M94']","['gonarthrosis [arthrosis of knee]', 'specific joint derangements', 'infective (teno)synovitis', 'disorders of synovium and tendon', 'bursopathies', 'osteonecrosis', 'disorders of cartilage']","[0, 0, 0, 0, 0, 0, 0]",0.0
1394,324,Butabarbital,"['N00', 'D46', 'E53', 'F05', 'G31', 'H49', 'I10', 'I12', 'I13', 'I62', 'I99', 'J02', 'J04', 'J30', 'J41', 'J42', 'J69', 'K20', 'K73', 'K75', 'L29', 'M10', 'M40', 'M46', 'N10', 'D26', 'E24', 'L73']","['acute nephritic syndrome', 'myelodysplastic syndromes', 'deficiency of b group vitamins', 'delirium', 'degenerative diseases of nervous system', 'paralytic strabismus', 'essential (primary) hypertension', 'hypertensive renal disease', 'hypertensive heart and renal disease', 'nontraumatic intracranial haemorrhage', 'disorders of circulatory system', 'acute pharyngitis', 'acute laryngitis and tracheitis', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'chronic bronchitis', 'pneumonitis due to solids and liquids', 'oesophagitis', 'chronic hepatitis', 'inflammatory liver diseases', 'pruritus', 'gout', 'kyphosis and lordosis', 'inflammatory spondylopathies', 'acute tubulo-interstitial nephritis', 'benign neoplasms of uterus', ""cushing's syndrome"", 'follicular disorders']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6428571428571429
1395,437,Calcium Citrate,"['J44', 'J47', 'J93']","['chronic obstructive pulmonary disease', 'bronchiectasis', 'pneumothorax']","[3, 0, 1]",1.3333333333333333
1396,411,Allylestrenol,"['G95', 'M41', 'M42', 'M43', 'M48', 'M62', 'G54', 'M47', 'M51', 'M54', 'M93', 'M96']","['diseases of spinal cord', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'spondylopathies', 'disorders of muscle', 'nerve root and plexus disorders', 'spondylosis', 'intervertebral disk disorders', 'dorsalgia', 'osteochondropathies', 'postprocedural musculoskeletal disorders']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
1397,385,Meprobamate,"['H40', 'H25', 'H26']","['glaucoma', 'senile cataract', 'cataract']","[8, 0, 1]",3.0
1398,43,Trimethadione,"['E87', 'F10', 'F12']","['disorders of fluid, electrolyte and acid-base balance', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of cannabinoids']","[3, 4, 1]",2.6666666666666665
1399,201,Ixazomib,"['M35', 'I10', 'I11', 'I15', 'I27', 'I35', 'I44', 'I51', 'I74', 'I77', 'J15', 'L30', 'M13']","['systemic involvement of connective tissue', 'essential (primary) hypertension', 'hypertensive heart disease', 'secondary hypertension', 'pulmonary heart diseases', 'nonrheumatic aortic valve disorders', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease', 'arterial embolism and thrombosis', 'disorders of arteries and arterioles', 'bacterial pneumonia', 'dermatitis', 'arthritis']","[0, 0, 5, 0, 1, 0, 0, 37, 1, 0, 2, 0]",3.8333333333333335
1400,193,Ketobemidone,"['M51', 'M43', 'M48', 'G54', 'G57', 'M40', 'M54', 'M96']","['intervertebral disk disorders', 'deforming dorsopathies', 'spondylopathies', 'nerve root and plexus disorders', 'mononeuropathies of lower limb', 'kyphosis and lordosis', 'dorsalgia', 'postprocedural musculoskeletal disorders']","[0, 0, 0, 2, 0, 0, 1, 0]",0.375
1401,139,Lercanidipine,"['J44', 'J45', 'J43', 'J96']","['chronic obstructive pulmonary disease', 'asthma', 'emphysema', 'respiratory failure']","[1, 2, 0, 0]",0.75
1402,204,Cinacalcet,"['I25', 'I42', 'I50', 'I44', 'I51']","['chronic ischaemic heart disease', 'cardiomyopathy', 'heart failure', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease']","[24, 7, 38, 0, 794]",172.6
1403,156,Drostanolone,"['E21', 'N18', 'N19', 'I15', 'N17']","['hyperparathyroidism and disorders of parathyroid gland', 'chronic renal failure', 'renal failure', 'secondary hypertension', 'acute renal failure']","[0, 0, 0, 0, 0]",0.0
1404,148_222,Rotigotine,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']","[0, 0, 0, 0]",0.0
1405,411,Nifedipine,"['G95', 'M41', 'M42', 'M43', 'M48', 'M62', 'G54', 'M47', 'M51', 'M54', 'M93', 'M96']","['diseases of spinal cord', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'spondylopathies', 'disorders of muscle', 'nerve root and plexus disorders', 'spondylosis', 'intervertebral disk disorders', 'dorsalgia', 'osteochondropathies', 'postprocedural musculoskeletal disorders']","[22, 2, 0, 0, 16, 684, 25, 0, 17, 0, 0]",69.63636363636364
1406,276,Aminophylline,"['M16', 'I89', 'M87']","['coxarthrosis [arthrosis of hip]', 'non-infective disorders of lymphatic vessels and lymph nodes', 'osteonecrosis']","[0, 3, 0]",1.0
1407,96_135,Roxithromycin,"['I84', 'K60', 'K62']","['haemorrhoids', 'fissure and fistula of anal and rectal regions', 'diseases of anus and rectum']","[1, 0, 2]",1.0
1408,13,Ambenonium,"['D68', 'H61', 'H74', 'J34', 'J35', 'J39', 'H72']","['coagulation defects', 'disorders of external ear', 'disorders of middle ear and mastoid', 'hypertrophy of nasal turbinates', 'chronic diseases of tonsils and adenoids', 'diseases of upper respiratory tract', 'perforation of tympanic membrane']","[0, 0, 0, 0, 0, 0, 0]",0.0
1409,69,Levodopa,"['K66', 'N73', 'N80', 'N94']","['disorders of peritoneum', 'female pelvic inflammatory diseases', 'endometriosis', 'pain and conditions associated with female genital organs and menstrual cycle']","[3, 2, 1, 25]",7.75
1410,34,Chlorpromazine,"['A02', 'A16', 'A38', 'A68', 'A69', 'B07', 'B35', 'C74', 'D10', 'D57', 'D59', 'D61', 'D70', 'D80', 'E30', 'F95', 'G03', 'G04', 'G47', 'G71', 'H04', 'H05', 'H10', 'H35', 'H49', 'H51', 'H60', 'H69', 'H73', 'I78', 'J02', 'J12', 'J13', 'J39', 'J40', 'J42', 'J46', 'K00', 'K10', 'K12', 'K13', 'K14', 'K40', 'K42', 'K43', 'L03', 'L95', 'M02', 'M12', 'M13', 'M60', 'N04', 'N11', 'N32', 'N35']","['salmonella infections', 'respiratory tuberculosis', 'scarlet fever', 'relapsing fevers', 'spirochaetal infections', 'viral warts', 'dermatophytosis', 'malignant neoplasm of adrenal gland', 'benign neoplasm of mouth and pharynx', 'sickle-cell disorders', 'acquired haemolytic anaemia', 'aplastic anaemias', 'agranulocytosis', 'immunodeficiency with antibody defects', 'disorders of puberty', 'tic disorders', 'meningitis due to specified causes', 'encephalitis, myelitis and encephalomyelitis', 'sleep disorders', 'primary disorders of muscles', 'disorders of lachrymal system', 'disorders of orbit', 'conjunctivitis', 'retinal disorders', 'paralytic strabismus', 'disorders of binocular movement', 'otitis externa', 'disorders of eustachian tube', 'disorders of tympanic membrane', 'diseases of capillaries', 'acute pharyngitis', 'viral pneumonia', 'pneumonia due to streptococcus pneumoniae', 'diseases of upper respiratory tract', 'bronchitis', 'chronic bronchitis', 'status asthmaticus', 'disorders of tooth development and eruption', 'diseases of jaws', 'stomatitis and related lesions', 'diseases of lip and oral mucosa', 'diseases of tongue', 'inguinal hernia', 'umbilical hernia', 'ventral hernia', 'cellulitis', 'vasculitis limited to skin', 'reactive arthropathies', 'specific arthropathies', 'arthritis', 'myositis', 'nephrotic syndrome', 'chronic tubulo-interstitial nephritis', 'disorders of bladder', 'urethral stricture']","[17, 31, 2, 0, 1, 2, 0, 12, 24, 17, 1, 19, 1, 7, 27, 1, 6, 123, 2, 0, 6, 9, 28, 0, 0, 0, 0, 0, 10, 0, 29, 1, 1, 9, 5, 4, 63, 4, 38, 22, 7, 1, 0, 0, 3, 0, 0, 3, 33, 0, 0, 0, 5, 1]",10.648148148148149
1411,387,Atosiban,"['H40', 'H47']","['glaucoma', 'disorders of optic [2nd] nerve and visual pathways']","[0, 0]",0.0
1412,125,Tiapride,"['E87', 'F50']","['disorders of fluid, electrolyte and acid-base balance', 'eating disorders']",[0],0.0
1413,203,Tiotropium,"['I20', 'I21', 'I25', 'I42', 'I50', 'I44', 'I51']","['angina pectoris', 'acute myocardial infarction', 'chronic ischaemic heart disease', 'cardiomyopathy', 'heart failure', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease']","[1, 6, 20, 0, 31, 2, 132]",27.428571428571427
1414,329,Bendroflumethiazide,"['N80', 'N81', 'N84', 'N85', 'N88', 'N95']","['endometriosis', 'female genital prolapse', 'polyp of female genital tract', 'noninflammatory disorders of uterus, except cervix', 'noninflammatory disorders of cervix uteri', 'menopausal and perimenopausal disorders']","[0, 0, 0, 0, 0, 10]",1.6666666666666667
1415,122,Guanidine,"['F17', 'J20', 'J44', 'J43', 'J96']","['mental and behavioural disorders due to use of tobacco', 'acute bronchitis', 'chronic obstructive pulmonary disease', 'emphysema', 'respiratory failure']","[13, 7, 101, 27, 197]",69.0
1416,355,Cetuximab,"['C53', 'C54', 'C55', 'D25', 'K81']","['malignant neoplasm of cervix uteri', 'malignant neoplasm of corpus uteri', 'malignant neoplasm of uterus, part', 'leiomyoma of uterus', 'cholecystitis']","[1, 0, 0, 0, 2]",0.6
1417,377,Tibolone,"['G81', 'G40', 'G41']","['hemiplegia', 'epilepsy', 'status epilepticus']","[0, 0, 0]",0.0
1418,78,Idelalisib,"['F32', 'F42', 'I95']","['depressive episode', 'obsessive-compulsive disorder', 'hypotension']","[0, 0, 1]",0.3333333333333333
1419,239,Palifermin,"['E21', 'N18', 'N19', 'N17']","['hyperparathyroidism and disorders of parathyroid gland', 'chronic renal failure', 'renal failure', 'acute renal failure']","[6, 4, 10, 4]",6.0
1420,255,Enflurane,"['C67', 'C68']","['malignant neoplasm of bladder', 'malignant neoplasm of urinary organs']","[2, 0]",1.0
1421,284,Hydroxocobalamin,"['G93', 'G40', 'G41']","['disorders of brain', 'epilepsy', 'status epilepticus']","[37, 12, 1]",16.666666666666668
1422,441,Levothyroxine,"['M19', 'M20', 'M77']","['arthrosis', 'acquired deformities of fingers and toes', 'enthesopathies']","[240, 16, 0]",85.33333333333333
1423,370,Mometasone,"['F17', 'A04', 'A41', 'B35', 'B37', 'I77', 'J41', 'K65', 'L30']","['mental and behavioural disorders due to use of tobacco', 'bacterial intestinal infections', 'septicaemia', 'dermatophytosis', 'candidiasis', 'disorders of arteries and arterioles', 'simple and mucopurulent chronic bronchitis', 'peritonitis', 'dermatitis']","[0, 0, 2, 2, 3, 0, 2, 178]",23.375
1424,351,Glatiramer,"['D63', 'D69', 'D70', 'D61', 'D46']","['anaemia in chronic diseases classified elsewhere', 'purpura and haemorrhagic conditions', 'agranulocytosis', 'aplastic anaemias', 'myelodysplastic syndromes']","[0, 337, 1, 0, 1]",67.8
1425,128,Physostigmine,"['E66', 'G47', 'K42', 'K43', 'E65']","['obesity', 'sleep disorders', 'umbilical hernia', 'ventral hernia', 'localised adiposity']","[4, 55, 0, 0, 0]",11.8
1426,12,Phenoxybenzamine,"['D64', 'D69', 'D70']","['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']","[7, 270, 0]",92.33333333333333
1427,74,Pasireotide,"['E06', 'E10', 'E14', 'E16']","['thyroiditis', 'insulin-dependent diabetes mellitus', 'diabetes mellitus', 'disorders of pancreatic internal secretion']","[16, 2, 57, 1]",19.0
1428,344,Erlotinib,"['C38', 'C78', 'D61', 'D70', 'C80']","['malignant neoplasm of heart, mediastinum and pleura', 'secondary malignant neoplasm of respiratory and digestive organs', 'aplastic anaemias', 'agranulocytosis', 'malignant neoplasm']","[9, 95, 0, 19, 6256]",1275.8
1429,227,Choriogonadotropin alfa,"['M16', 'M87']","['coxarthrosis [arthrosis of hip]', 'osteonecrosis']","[0, 0]",0.0
1430,83,Clozapine,"['F50', 'M81', 'N91']","['eating disorders', 'osteoporosis without pathological fracture', 'absent, scanty and rare menstruation']","[53, 0, 0]",17.666666666666668
1431,184,Dexchlorpheniramine maleate,"['F48', 'G25', 'G47']","['neurotic disorders', 'extrapyramidal and movement disorders', 'sleep disorders']","[0, 1, 0]",0.3333333333333333
1432,204,Prochlorperazine,"['I25', 'I42', 'I50', 'I44', 'I51']","['chronic ischaemic heart disease', 'cardiomyopathy', 'heart failure', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease']","[0, 1, 3, 183]",46.75
1433,426,Digoxin,"['E79', 'M10']","['disorders of purine and pyrimidine metabolism', 'gout']","[305, 10]",157.5
1434,148_222,Dalfampridine,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']","[0, 0, 0, 0]",0.0
1435,117,Promazine,"['E10', 'E14', 'E11']","['insulin-dependent diabetes mellitus', 'diabetes mellitus', 'non-insulin-dependent diabetes mellitus']","[0, 0, 0]",0.0
1436,428,Benzthiazide,"['F03', 'F13', 'F20', 'F22', 'G31']","['dementia', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'schizophrenia', 'persistent delusional disorders', 'degenerative diseases of nervous system']","[0, 1, 0, 0, 0]",0.2
1437,134,Dipyrithione,"['I73', 'I70', 'M34']","['peripheral vascular diseases', 'atherosclerosis', 'systemic sclerosis']","[0, 0, 0]",0.0
1438,185,Taurine,"['F17', 'G45', 'J38', 'J40', 'J43', 'J98']","['mental and behavioural disorders due to use of tobacco', 'transient cerebral ischaemic attacks and related syndromes', 'diseases of vocal cords and larynx', 'bronchitis', 'emphysema', 'respiratory disorders']","[6, 225, 10, 4, 6, 142]",65.5
1439,262,Gefitinib,"['D13', 'K80', 'K81', 'K82']","['benign neoplasm of ill-defined parts of digestive system', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[0, 0, 1, 2]",0.75
1440,44,Pantoprazole,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[0, 14, 1]",5.0
1441,34,Nonoxynol-9,"['A02', 'A16', 'A38', 'A68', 'A69', 'B07', 'B35', 'C74', 'D10', 'D57', 'D59', 'D61', 'D70', 'D80', 'E30', 'F95', 'G03', 'G04', 'G47', 'G71', 'H04', 'H05', 'H10', 'H35', 'H49', 'H51', 'H60', 'H69', 'H73', 'I78', 'J02', 'J12', 'J13', 'J39', 'J40', 'J42', 'J46', 'K00', 'K10', 'K12', 'K13', 'K14', 'K40', 'K42', 'K43', 'L03', 'L95', 'M02', 'M12', 'M13', 'M60', 'N04', 'N11', 'N32', 'N35']","['salmonella infections', 'respiratory tuberculosis', 'scarlet fever', 'relapsing fevers', 'spirochaetal infections', 'viral warts', 'dermatophytosis', 'malignant neoplasm of adrenal gland', 'benign neoplasm of mouth and pharynx', 'sickle-cell disorders', 'acquired haemolytic anaemia', 'aplastic anaemias', 'agranulocytosis', 'immunodeficiency with antibody defects', 'disorders of puberty', 'tic disorders', 'meningitis due to specified causes', 'encephalitis, myelitis and encephalomyelitis', 'sleep disorders', 'primary disorders of muscles', 'disorders of lachrymal system', 'disorders of orbit', 'conjunctivitis', 'retinal disorders', 'paralytic strabismus', 'disorders of binocular movement', 'otitis externa', 'disorders of eustachian tube', 'disorders of tympanic membrane', 'diseases of capillaries', 'acute pharyngitis', 'viral pneumonia', 'pneumonia due to streptococcus pneumoniae', 'diseases of upper respiratory tract', 'bronchitis', 'chronic bronchitis', 'status asthmaticus', 'disorders of tooth development and eruption', 'diseases of jaws', 'stomatitis and related lesions', 'diseases of lip and oral mucosa', 'diseases of tongue', 'inguinal hernia', 'umbilical hernia', 'ventral hernia', 'cellulitis', 'vasculitis limited to skin', 'reactive arthropathies', 'specific arthropathies', 'arthritis', 'myositis', 'nephrotic syndrome', 'chronic tubulo-interstitial nephritis', 'disorders of bladder', 'urethral stricture']","[0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 3, 0, 13, 5, 0, 0, 0, 0, 0, 0, 1, 0, 10, 0, 0, 0, 3, 0]",0.9272727272727272
1442,65_103,Cilostazol,"['B18', 'F10', 'F11', 'F12', 'F13', 'F14', 'F19']","['chronic viral hepatitis', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[0, 4, 0, 2, 2, 5]",2.1666666666666665
1443,13,Palbociclib,"['D68', 'H61', 'H74', 'J34', 'J35', 'J39', 'H72']","['coagulation defects', 'disorders of external ear', 'disorders of middle ear and mastoid', 'hypertrophy of nasal turbinates', 'chronic diseases of tonsils and adenoids', 'diseases of upper respiratory tract', 'perforation of tympanic membrane']","[2, 0, 0, 0, 0, 0, 0]",0.2857142857142857
